[2019-04-23 11:38:29,122] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:38:29,122] - log_print.py] - INFO: ----------------开始读取excel中的测试用例----------------
[2019-04-23 11:38:29,147] - log_print.py] - INFO: ----------------开始执行测试用例----------------
[2019-04-23 11:38:29,148] - log_print.py] - INFO: ----------------开始调用接口----------------：http://116.62.67.80:9050/baseVerify/faceAuthentication
[2019-04-23 11:38:34,154] - log_print.py] - ERROR: ----------------返回结果失败----------------：第1个测试用例的接口请求超时响应,请注意!!, [ http://116.62.67.80:9050/baseVerify/faceAuthentication ]
[2019-04-23 11:38:50,236] - log_print.py] - INFO: ----------------读取配置文件中邮箱信息----------------
[2019-04-23 11:38:50,237] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:38:50,276] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:38:50,400] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 11:38:50,404] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:38:50,404] - log_print.py] - INFO: ----------------开始读取excel中的测试用例----------------
[2019-04-23 11:38:50,427] - log_print.py] - INFO: ----------------开始执行测试用例----------------
[2019-04-23 11:38:50,427] - log_print.py] - INFO: ----------------开始调用接口----------------：http://116.62.67.80:9050/baseVerify/faceAuthentication
[2019-04-23 11:38:55,434] - log_print.py] - ERROR: ----------------返回结果失败----------------：第1个测试用例的接口请求超时响应,请注意!!, [ http://116.62.67.80:9050/baseVerify/faceAuthentication ]
[2019-04-23 11:40:23,706] - log_print.py] - INFO: ----------------读取配置文件中邮箱信息----------------
[2019-04-23 11:40:23,707] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:40:23,746] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:40:23,875] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 11:40:23,880] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:40:23,881] - log_print.py] - INFO: ----------------开始读取excel中的测试用例----------------
[2019-04-23 11:40:23,901] - log_print.py] - INFO: ----------------开始执行测试用例----------------
[2019-04-23 11:40:23,901] - log_print.py] - INFO: ----------------开始调用接口----------------：http://116.62.67.80:9050/baseVerify/faceAuthentication
[2019-04-23 11:40:28,908] - log_print.py] - ERROR: ----------------返回结果失败----------------：第1个测试用例的接口请求超时响应,请注意!!, [ http://116.62.67.80:9050/baseVerify/faceAuthentication ]
[2019-04-23 11:40:48,326] - log_print.py] - INFO: ----------------读取配置文件中邮箱信息----------------
[2019-04-23 11:40:48,326] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:40:48,374] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:40:48,519] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 11:40:48,526] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:40:51,798] - log_print.py] - INFO: ----------------读取配置文件中邮箱信息----------------
[2019-04-23 11:40:51,799] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:40:51,835] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:40:51,957] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 11:40:51,963] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:40:51,963] - log_print.py] - INFO: ----------------开始读取excel中的测试用例----------------
[2019-04-23 11:40:51,986] - log_print.py] - INFO: ----------------开始执行测试用例----------------
[2019-04-23 11:40:51,986] - log_print.py] - INFO: ----------------开始调用接口----------------：http://116.62.67.80:9050/baseVerify/faceAuthentication
[2019-04-23 11:40:56,993] - log_print.py] - ERROR: ----------------返回结果失败----------------：第1个测试用例的接口请求超时响应,请注意!!, [ http://116.62.67.80:9050/baseVerify/faceAuthentication ]
[2019-04-23 11:43:08,701] - log_print.py] - INFO: ----------------读取配置文件中邮箱信息----------------
[2019-04-23 11:43:08,701] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:43:08,746] - log_print.py] - INFO: ----------------读取配置文件----------------
[2019-04-23 11:43:08,881] - log_print.py] - INFO: ----------------正在连接mysql服务器----------------
[2019-04-23 11:43:08,887] - log_print.py] - INFO: ----------------连接服务器成功----------------
[2019-04-23 11:43:13,648] - log_print.py] - INFO: ----------------读取配置文件中邮箱信息----------------
[2019-04-23 11:43:13,648] - log_print.py] - INFO: ----------------读取配置文件----------------
